"country","tech_do"
"Australia","C#; SQL"
"Australia","C#; JavaScript; SQL; SQL Server"
"Australia","C#; JavaScript; SQL; SQL Server"
"Australia","Android; C#; Java; PHP"
"Australia","Android; Arduino / Raspberry Pi; JavaScript; Node.js; SQL"
"Australia","Android; AngularJS; Cloud (AWS, GAE, Azure, etc.); iOS; JavaScript; LAMP; Node.js; Objective-C; PHP; Ruby; SQL; WordPress"
"Australia","Android; AngularJS; C#; Cordova; iOS; JavaScript; LAMP; MongoDB; Node.js; SQL; SQL Server; WordPress"
"Australia","SQL"
"Australia","Arduino / Raspberry Pi; JavaScript; PHP; Ruby; SQL; SQL Server"
"Australia","AngularJS; JavaScript; Ruby"
"Australia","Arduino / Raspberry Pi; C++; C#; Java; Perl; PHP; Python; R; Ruby; SQL; Visual Basic"
"Australia","Android; C++; C#; Cordova; Cloud (AWS, GAE, Azure, etc.); Hadoop; Java; JavaScript; PHP; Python; SQL"
"Australia","AngularJS; C++; JavaScript; MongoDB; Node.js; PHP; SQL; Visual Basic"
"Australia","CoffeeScript; iOS; JavaScript; Objective-C; Perl; PHP; Python; Ruby; SQL; Visual Basic"
"Australia","JavaScript; PHP; SQL; SQL Server; WordPress"
"Australia","AngularJS; JavaScript; PHP; Redis; Ruby; SQL; WordPress"
"Australia","C#; Java; SQL"
"Australia","Android; AngularJS; C#; Cloud (AWS, GAE, Azure, etc.); iOS; Java; JavaScript; SQL; SQL Server"
"Australia","JavaScript; Node.js; Perl; Python; SQL"
"Australia","Android; Cloud (AWS, GAE, Azure, etc.); JavaScript; LAMP; PHP; R"
"Australia","Android; Arduino / Raspberry Pi; iOS; Java; JavaScript; LAMP; MongoDB; Node.js; PHP; Python; SQL; Swift; WordPress"
"Australia","AngularJS; C; C++; JavaScript; LAMP; Node.js; PHP; SQL"
"Australia","AngularJS; Cloud (AWS, GAE, Azure, etc.); Java; Node.js"
"Australia","Java; JavaScript"
"Australia","JavaScript; MongoDB; Node.js; ReactJS; Ruby"
"Australia","C++; Java; SQL Server"
"Australia","JavaScript; PHP; SQL; WordPress"
"Australia","Cassandra; Java; SQL"
"Australia","JavaScript; Node.js; R; SQL"
"Australia","AngularJS; JavaScript; LAMP; PHP; Redis; SQL"
"Australia","C#; CoffeeScript; Cloud (AWS, GAE, Azure, etc.); JavaScript; Ruby; SQL; SQL Server"
"Australia","Go; iOS; Ruby; SQL; Swift"
"Australia","C++"
"Australia","C; C++; Python; R"
"Australia","C; C++; C#; CoffeeScript; JavaScript; Node.js; Rust"
"Australia","AngularJS; C#; Cloud (AWS, GAE, Azure, etc.); JavaScript; Node.js; SQL; SQL Server"
"Australia","Cloud (AWS, GAE, Azure, etc.); Go; SQL"
"Australia","C#; Java; JavaScript; LAMP; MongoDB; Node.js; PHP; Python; Ruby; WordPress"
"Australia","C#; Cordova; Java; Python; SQL; SQL Server"
"Australia","Android; C; C++; Java; Python"
"Australia","Cloud (AWS, GAE, Azure, etc.); JavaScript; LAMP; Node.js; PHP; SQL"
"Australia","C; C++; C#; Java; JavaScript; SQL; SQL Server; WordPress"
"Australia","C++; C#"
"Australia","JavaScript; Ruby; SQL"